PctUnemployed,PctImmigRec5,TotalPctDiv,PopDens,PctLess9thGrade,medIncome,levelofcrime
2.7,13,4.47,1845.9,5.81,75122,Low
2.43,8.65,5.42,2186.7,5.61,47917,Low
4.01,23.98,12.55,2780.9,2.8,35669,Low
9.86,13.86,12.91,3217.7,11.05,20580,Low
5.72,30.56,13.04,1995.7,8.76,21577,High
4.85,16.27,7.64,2643.5,4.49,42805,Low
8.19,22.82,14.94,1515.3,10.09,23221,High
4.18,33.58,8.64,2399.3,5.52,25326,Low
8.39,23.08,12.97,1319.3,13.01,17852,High
7.19,35.39,13.53,816.1,9.07,24763,High
10.16,32.75,16.57,9387.3,14.03,25479,High
6.93,49.52,11.95,1354.2,15.28,20043,High
11.05,32.43,12.74,1301.5,14.49,19143,High
4.01,11.7,8.38,1314.3,6.55,44635,Low
6.95,41.41,11.12,5677.3,11.54,34372,Low
2.57,16.19,8.64,2552.7,1.33,49851,Low
4.99,30.13,12.77,2716.3,3.71,35048,High
8.98,25.51,11.77,22878.2,14.1,29823,High
3.5,18.31,9.33,2917.9,5.8,29043,High
3.14,23.14,11.94,291.4,5.83,32221,Low
5.39,12.4,11.99,1581.4,4.07,34934,High
3.31,23.73,11.54,1073.9,8.18,26198,Low
2.69,5.26,12.8,3697.1,2.73,45892,Low
7.07,31.36,16.22,5943,6.71,28108,High
6.5,30.07,12.15,1189.1,12.99,23258,High
8.34,5.88,14.22,1900.7,15.88,22052,High
13.93,0,11.08,2323.5,23.94,14874,High
11.24,21.62,8.73,3608.7,36.26,18395,High
8.97,18.96,10.7,3353.7,12.54,22166,Low
5.73,4.9,9.06,225.9,3.9,36618,Low
5.13,0,11.89,998.4,5.6,34372,High
10.34,20.59,14.31,2853.3,12.32,27230,Low
7.91,26.52,14.13,2134,21.8,18499,High
5.1,16.87,9.94,1641.4,4.93,51594,High
12.45,32.8,13.52,1672.6,18.51,18060,High
2.43,10.63,11.26,4486.8,2.43,54658,Low
7.71,13.43,12.12,1702.6,14.84,23534,High
8.67,4.77,12.63,3513.5,8.47,21688,High
7.06,16.63,11,125.8,17.59,26125,High
5.68,4.23,13.39,1423.7,18.52,22446,High
5.55,11.78,7.69,2441,5.59,38742,Low
1.84,20.76,16.9,2575.6,2.39,53419,High
12.26,3.26,10.59,1345.2,42.31,16180,High
7.01,0,12.75,616.9,20.78,19985,Low
3.8,22.29,12.23,5437.2,3.6,54348,High
4.65,12.29,6.2,7812.2,3.26,43376,Low
10.98,13.67,14.6,4102.3,9.68,22439,Low
9.92,27.39,13.62,3988.5,8.57,24819,High
9.62,24.3,12.53,11326,11.29,24603,High
3.94,21.86,6.41,4413,3.72,59719,Low
4.21,7.12,10.31,1137.7,4.72,32704,Low
5.97,43.05,11.25,1290.5,13.61,23726,High
3.37,53.98,9.11,885.5,4.37,36770,Low
7.46,19.78,12.75,2042.4,18.33,19433,High
4.74,21.81,13.21,2286.9,5.36,35934,High
6.85,0,10.14,1249.9,15.8,23056,Low
3.13,21.14,5.81,1260.7,3.8,49143,Low
6.42,21.38,10.46,580.3,6.21,31235,High
5.41,3.85,8.48,369.6,8.16,32713,High
6.62,15.57,11.16,8564.4,9.07,23773,High
7.11,44.26,14.23,2063.3,12.59,19923,High
5.99,34.88,15.37,1451,11.55,25649,High
3.75,14.28,6.47,2250.1,4.57,58194,Low
3.44,7.51,8.57,2139.7,8.71,45481,Low
8.52,23.96,11.36,1227.9,14.83,20569,High
3.56,13.27,6.38,3625.3,1.05,43971,Low
9.5,17.28,13.15,1057.3,13.83,18357,High
8.12,28.48,14.15,2503.8,9.36,21748,High
4.1,13.09,9.3,249.1,5.04,41944,Low
8.51,9.06,10.51,1329.7,19.73,19157,High
5.12,14.14,12.53,1602.6,3.63,30591,Low
7.31,8.33,12.32,3397.6,3.69,37683,High
3.05,10.27,7.8,4180.8,6.29,34644,Low
4.57,11.31,11.2,3057.5,3.75,41028,High
4.48,21.43,10.57,1098.7,15.1,23744,Low
2.71,14.81,5.8,3001.1,4.91,62420,Low
7.22,24.91,10.93,658.2,2.92,33411,High
4.17,22.23,7.38,6118.4,7.01,46499,Low
6.16,29.91,16.07,3386.2,5.62,25592,High
3.3,28.79,11,2695.4,6.16,46674,Low
3.95,32.19,11.64,6260.9,3.85,47204,High
3.21,0,4.1,585.8,1.7,43804,Low
3.82,29.78,13.43,3349.1,8.12,42962,High
3.31,25.43,9.55,2104.5,10.36,35855,Low
5.66,5.72,9.08,785.2,7.04,26654,Low
5.08,42.9,8.28,3304.7,7.24,25456,Low
9.25,31.16,12.44,6679.9,11.86,25811,High
8.37,31.7,14.97,3399.4,28.57,18095,High
2.81,4.91,5.14,2553.6,5.04,48483,Low
9.13,18.03,10.44,1633.9,18.7,19063,High
5.64,5.66,8.45,3344,7.31,29576,Low
4.78,28.84,12.03,2398.1,5.71,37073,High
11.09,27.07,12.74,705.2,27.72,24292,High
3.93,29.6,14.83,2035.3,5.45,34182,Low
4.82,22.33,9.2,2959.7,8.38,25168,Low
4.77,35.73,19.11,1404.9,4.32,30141,High
3.52,14.83,13.69,2618.2,1.9,53710,Low
3.31,24.07,10.85,3178,4.6,51253,Low
3.62,13.79,12.39,904.5,5.83,32877,High
5.56,32.56,11.51,1903.4,5.59,23453,High
3.21,48.52,5.92,6306.9,7.05,43092,Low
7.56,35.43,5.29,1161.2,12.93,21392,Low
2.63,38.49,12.84,659.9,2.21,44335,Low
2.94,3.6,8.64,422.4,5.05,48889,Low
5.96,69.19,6.76,1660.1,11.51,22194,Low
7.85,20.95,13.1,4187.9,10.84,31671,High
3.08,26.12,8.91,2508.1,6.11,49900,Low
8.74,20,14.39,3485.1,9.79,21407,High
8.15,29.69,12.16,1062.7,16.58,21238,High
6.72,23.31,12.13,2204.9,10.91,25141,Low
5.93,39.72,11.46,1813.5,6.41,27148,Low
8.34,32.13,12.26,7168.1,18.4,30925,High
7.53,27.86,8.63,10587.5,22.09,33969,High
4.6,5.18,6.44,644.9,12.11,40117,Low
9.73,12.14,12.05,709,8.04,20905,Low
4.98,18.75,10.18,401.2,4.85,35575,Low
4.37,35.56,10.62,4254.3,9.54,28655,High
3.09,24.06,12.29,901.6,3.09,48901,Low
4.91,55.89,8.97,1504.7,5.02,22059,High
10.38,4.01,13.43,2193.5,9.34,20711,High
5.7,20.57,9.33,9469.3,6.38,31262,High
4.16,24.31,10.45,2251.7,5.91,36864,Low
8.01,14.34,13.17,2926.2,13.76,20461,Low
8.12,20.14,15.82,3058.9,5.74,22192,High
6.45,44.08,10.88,2561.8,5.4,22996,Low
10.96,14.2,15.23,1510.9,9.02,21762,High
5.4,24.94,10.37,1780,10.29,21221,High
6.21,3.58,7.39,281.9,13.59,37156,Low
5.47,9.22,10.46,798.4,3.83,43419,Low
8.89,17.67,16.77,2442.6,13.67,23269,High
5.19,13.29,11.74,2570,7.17,23684,Low
2.38,6.22,6.88,2608.5,3.31,44735,Low
10.87,24.34,14.53,44229.9,28.42,25655,High
3.4,27.59,11.7,7232,1.67,60462,Low
8.85,37.73,8.74,7709.4,15.92,28289,High
8.38,3.33,11.92,2172,19.02,19397,High
10.6,37.48,14.87,8883,21.02,29206,High
3.1,27.52,4.82,544.6,0.72,70287,Low
3.09,15.43,10.54,566.3,3.66,45043,Low
13.03,10.08,12.05,3024.3,23.72,18506,Low
3.4,7.24,7.02,2534.6,6.68,44083,Low
5.92,3.4,12.07,5549.8,12.78,28998,Low
3.8,16.99,5.69,2653.4,5.82,36972,Low
5.69,6.54,11.17,1615.9,13.23,34179,High
5.71,33.33,10.01,355.3,12.41,31617,Low
12.4,12.21,14.44,8345.8,13.42,20864,High
7.56,0,11.41,1158.3,14.76,20745,High
6.54,15.67,16.66,2487.1,11.47,22772,High
7.43,27.63,15.58,2838.4,12.32,27489,High
5.51,76.16,8.35,1076,13.16,20859,Low
4.73,22.6,11.97,2287.7,5.02,24714,Low
6.64,18.62,15.61,491.9,5.73,24814,High
4.13,19.23,14.22,7336,6.29,42971,High
4.35,35.36,11.49,3015.2,7.77,26974,Low
8.63,28.82,14.07,7732.5,16.1,22112,High
10.69,45.96,7.37,1118.3,8.95,17826,High
9.43,25.29,16.07,2838.8,9.43,32165,High
7.65,10.69,7.94,1722.8,11.58,37701,Low
3.5,12.18,9.17,4843.5,7.89,36809,Low
4.1,0,9.98,1674.9,7.3,29661,Low
19.22,25.27,10.6,2616.7,36.43,14994,Low
10.89,57.52,13.35,1647.8,16.59,15917,High
5.33,14.21,7.42,552.6,6.47,34198,Low
12.14,17.8,7.43,1990.9,34.49,17489,Low
7.94,32.8,10.19,200,11.19,30524,Low
2.55,10.08,9.21,1339.6,2.69,50843,Low
5.67,34.29,11.09,2057.1,11.86,23462,Low
4.17,35.55,15,5980.4,7.4,40313,High
4.24,16.88,13.42,2798.7,5.09,45171,Low
3.64,17.64,6.55,5529.7,3.25,64338,High
9.88,24.77,16.23,1641.4,8.65,19474,High
2.43,26.51,10.8,2705.7,3.42,34466,Low
3.32,33.82,12.93,1746.9,11.51,26614,High
3.12,29.89,5.15,937,2.33,77530,Low
7,29.16,12.46,4222.7,10.56,38532,High
2.9,18.42,8.93,4027.7,1.38,61058,Low
6.54,31.62,13.78,8287.7,11.53,31938,High
8.57,30.54,14.2,1612.7,16.77,19829,High
5.76,29.3,9.9,2579.1,10.42,43555,High
5.42,11.87,9.33,2388,3.83,39603,Low
3.85,25.17,9.68,3265,3.42,43428,Low
2.81,2.04,6.47,503.3,3.9,50798,Low
4.12,19.37,11.65,5846.5,5.65,42019,Low
7.67,31.53,12.97,1451.1,11.35,21864,High
7.06,24.43,15.53,705.8,7.06,25741,High
9.97,26.57,11.21,1642.4,19.38,21946,High
9.97,4,10.33,1631.1,24.03,18962,High
4.52,14.1,11.07,1853,9.71,20189,Low
1.71,28.67,9.8,3324.1,2.13,47790,Low
7.4,22.91,14.75,1851.6,6.46,22610,High
5.21,29.09,11.54,1489.4,6.52,25740,High
2.5,18.96,8.12,8169.9,3.34,54364,Low
14.95,27.48,8.21,4583.8,34.36,22032,High
2.92,23.62,11.42,3209.2,2.42,37156,Low
4.24,10.83,15.17,1470.9,3.87,25787,High
2.86,13.34,7.89,691.9,3.34,70000,Low
6.09,27.22,11.55,1610.3,4.83,24955,Low
12.8,8.85,17.75,1101.9,10.62,16600,High
7.69,15.48,16.27,1740.1,8.91,21174,Low
10.08,16.59,13.26,2753.9,8.68,25385,Low
7.41,24.01,11.96,14786.2,11.54,34850,High
3.91,9.37,11.53,2981.4,4.62,32002,Low
14.52,20.41,11.04,1585.4,17.18,14509,High
1.93,14.29,13.33,1087.9,10.83,27095,Low
8.5,54.19,13.34,876.6,15.06,18743,High
3.95,16.22,7.51,4854.5,10.55,43109,Low
4.11,10.6,10.56,1365.5,3.23,45550,Low
2.75,10.12,9.73,2105.1,5.76,35301,Low
3.69,33.72,10.34,1407.8,5.33,38068,High
5.26,25.09,10.86,2945.3,9.6,28824,High
2.46,23.45,7.12,398.2,3.8,61524,Low
4.58,11.37,9.47,690.4,5.83,44130,Low
9.45,20.21,14.29,1111.6,13.01,18004,High
5.97,3.71,13.98,3224.1,10.26,18514,High
2.17,27.63,10.35,1431.1,5.07,37461,Low
5.61,11.7,9.98,4547.1,2.84,47121,Low
4.59,17.43,8.07,6943.6,8.4,42464,Low
5.9,5.41,6.27,851.4,1.32,60274,Low
7.53,11.05,12.73,1429.8,10.86,19205,High
4.97,9.02,11.7,922.6,7.46,29833,Low
11.79,39.83,13.73,6681,18.45,22224,High
5.17,0,7.62,788.6,8.35,31503,Low
6.69,18.53,9.33,3278.7,13.14,35911,High
6.32,27.33,15.97,1900.8,11.29,25982,High
2.5,38.92,8.51,3285.8,4.44,61271,Low
2.99,24.52,5.66,4138.5,3.91,66760,Low
4.24,16.22,11.52,3047.3,2.88,45127,Low
7.17,19.19,10.68,4303,12.8,43882,High
7.32,0.37,4.41,839.6,13.67,23028,Low
8.96,4.85,11.37,3596.7,10.52,22271,Low
4.05,25.44,9.8,1320.6,4.25,36415,Low
4.66,24.35,13.64,1411.1,4.56,36843,High
5.91,27.71,13.48,829.1,6.12,26680,High
6.7,1.46,9.32,1190,12.65,28261,Low
5.11,0,14.15,1008.8,18.45,21372,High
3.74,18.42,9.45,614.6,7.88,35951,Low
4.7,23.3,15.92,9868.6,7.12,36222,High
5.5,12.52,9.4,2135.7,6.22,44142,Low
8.22,7.29,15.55,3013.5,9.51,26272,High
7.44,39.86,14.84,1896.7,11.58,18519,High
3.38,24.77,15.62,9250.8,2.66,51913,High
7.76,24.12,14.22,1604.5,12.38,20213,High
7.09,10.35,11.25,413.2,12.88,27824,Low
6.82,29.03,12.36,1885,10.27,20950,Low
3.01,26.22,11.85,3094.7,1.1,51499,Low
5.5,34.48,18.67,2247,5.49,28388,High
5.1,6.97,8.75,1082.6,10.71,32596,Low
9.23,28.02,10.37,10219.9,23.05,33273,High
3.27,21.74,11.39,3028.4,1.71,45529,Low
3.99,49.58,9.04,2538.7,14.49,25505,Low
4.78,25.46,8.53,9963.3,6.28,32356,Low
3.24,10.25,10.78,1555.2,2.74,43379,Low
10.99,22.3,10.16,3283,22.73,32857,High
5.56,14.63,6.68,4712.2,8.18,46082,Low
5.96,25.12,12.17,3432.9,5.93,30534,High
6.92,25.86,8.95,4887.1,5.52,35858,Low
6.92,11.25,11.65,1736.3,16.51,26615,High
5.17,21.16,11.9,3891.3,3.07,39014,Low
4.21,0,11.23,2460.1,11.36,26640,Low
11,30.43,16.73,3832,11.05,23491,High
7.98,20.31,11.47,8027,16.58,26541,High
5.8,27.56,13.58,2548.6,5.75,28024,High
2.73,14.92,7.02,1101.5,3.21,59724,Low
9.73,23.43,10.96,697.7,15.21,28611,High
5.58,33.75,13.83,1416.1,4.69,22697,High
3.77,11.48,10.1,2408.4,2.44,39904,Low
10.62,38.24,13.56,1651.9,17.43,18593,High
10.58,5.75,14.46,835.5,16.97,16331,High
4.91,34.1,12.07,308.1,6.05,32615,Low
2.57,17.2,14.64,2658.8,5,29547,Low
4.87,13.61,13.07,10393,5.2,28791,Low
3.96,3.16,8.84,2201.1,6.2,27834,Low
9.11,6.2,12.99,1216.9,18.7,21468,High
6.84,19.22,13.21,3710.2,7.98,24127,High
13.05,12.21,15.49,2482.6,11.21,17658,High
5.34,31.95,13.4,1037.9,14.22,25268,High
2.64,11.38,9.89,2383.1,1.96,45474,Low
3.05,10.32,7.66,1047.1,10.2,32979,Low
2.93,16.93,5.81,5428.5,5.34,52126,Low
7.31,24.37,10.17,2333.6,5.78,42186,High
2.4,0,9.64,956.9,7.7,27373,Low
3.75,17.51,6.65,2304.4,2.04,65590,Low
7.81,25.11,8.89,2479.3,3.87,24596,High
3.09,19.75,10.69,3134.5,4.09,34506,Low
2.95,3.47,8.02,509.2,5.96,39683,Low
4.09,17.51,5.91,8359.4,7.41,48776,Low
7.43,11.41,13,2657.8,7.24,25508,High
4.22,9.69,10.78,1877.8,4.16,31877,Low
4.52,37.93,11.97,2189.3,7.74,29032,Low
4.8,14.2,7.27,5784.6,2.89,44109,Low
4.18,6.2,6.47,612.6,6.6,49004,Low
6.56,4.78,12.5,3480,9.09,29450,High
7.48,6.98,12.03,1315.7,6.62,22954,Low
5.67,30.6,13.85,2241.3,11.24,23963,High
4.92,62.32,4.1,3398.7,1.31,17886,Low
4.88,5.82,7.8,1558,17.83,21615,Low
3.61,15.96,9.34,2410.2,1.6,70919,Low
6.29,37.63,12.29,936.9,11.78,25075,High
2.8,22.46,12.86,5955.8,4.69,42487,Low
2.06,33.85,11.35,1990.1,3.59,34859,Low
4.11,12.63,10.85,1211.6,4.72,43578,Low
2.28,16.93,9.14,5324,5.07,36215,Low
8.04,0,10.29,1028.9,8.53,25943,Low
10.31,29.61,17.1,6234.9,10.23,20329,High
4.05,9.44,9.74,3514.7,2.22,35018,Low
11.58,18.49,12.96,7798.2,12.42,18482,High
10.85,17.15,14.81,1359.8,14,21885,High
5.42,9.38,13.34,732.4,9.38,31489,High
4.35,11.99,9.28,688.6,5.24,31177,Low
7.04,23.11,10.17,9533.9,17.26,33311,Low
4.69,17.05,16.51,3363.3,7.79,24884,High
4.87,23.38,13.75,649.2,11.71,25790,High
6.83,29,12.33,3107.5,12.15,29463,High
3.62,4.65,7.5,3362.1,5.02,39437,Low
7.2,30.36,11.22,3070.1,9.78,31146,High
6.67,19.13,9.33,456.3,7.74,36682,High
7.12,11.42,9.23,2163.3,18.42,26136,Low
8.74,6.36,11.83,1534.3,26.36,19970,High
5.47,17.01,10.09,223.6,3.11,29590,Low
4.1,10.71,12.47,1548.4,3.89,24869,High
6.89,29.19,15.38,11605.2,10.94,30967,High
7.77,20.1,14.93,2121.4,11.35,22102,High
3.62,8.11,9.67,576.4,8.86,38025,Low
6.63,26.11,9.47,2409,9.47,22661,High
2.86,16.78,15.89,4378,9.45,28121,High
8.24,26.42,12.61,1477.4,16.5,20810,High
3.8,32.92,7.73,1178.4,4.43,65072,Low
7.6,24.15,15.82,3702.5,10.13,28183,High
6.59,16.11,13.44,1774.5,9.4,24462,High
6.55,15.5,9.61,3131.4,11.05,21060,Low
4.72,6.76,7.18,673.2,4.55,34978,Low
5.98,32.01,13.88,1331.5,10.68,19420,High
4.64,27.17,16.58,3615.7,5.04,32420,High
2.65,20.86,7.03,1121.5,6.32,47517,Low
9.74,26.35,14.8,13083.7,13.87,27301,High
10.81,24.7,9.33,11329.3,36.2,27279,High
7.43,22.64,15.02,1537.2,12.39,26547,High
5.46,14.77,9.74,2491.1,6.88,34492,High
4.66,16.88,11.39,286.5,15.57,24676,Low
2.18,4.85,8.8,1655.8,13.43,21344,Low
4.79,15.39,12.42,1322.6,6.36,35794,High
4.61,27.74,8.6,2190.2,3.82,46885,Low
1.66,24.73,5.49,451.5,0.66,47299,Low
10.72,41.09,13.67,1017,11.77,14555,High
3.01,18.2,14.45,4589.7,1.1,60374,Low
4.07,24.42,15.45,2740.2,3.15,45964,Low
5.36,6.12,9.48,1027.6,8.51,32493,High
5.41,24.19,10.52,5776.7,4.26,52442,High
1.87,15.64,7.3,3421.8,1.42,53140,Low
9.38,26.92,13.58,1415.4,15.95,21352,High
4.3,17.86,10.68,2371.5,4.47,46116,Low
5.29,4.78,10.15,1094.6,4.09,40378,Low
6.41,12.95,8.13,776.3,5.39,45397,Low
5.39,2.2,10.87,1737.3,8.9,22783,High
3.64,24.16,9.67,674.7,3.4,45828,Low
3.35,17.57,11.06,3807.6,17.68,24947,Low
5.82,10.38,10.31,957.3,5.11,31510,Low
3.03,15.36,7.5,1640.4,2.74,47629,Low
11.85,16.16,15.99,1564.6,17.41,14579,High
2.57,19.94,8.24,2347.5,9.28,40602,High
8.98,2.64,12.23,2268.2,9.36,23819,Low
9.15,27.45,13.7,3438.1,9.9,22806,High
3.25,10.6,6.07,923.4,5.42,57484,Low
6.62,22.9,9.25,9248.8,23.35,36383,High
4.98,8.53,10.65,3790.6,8.95,30031,Low
7.28,44.9,12.37,1775,7.84,26684,Low
3.45,14.59,12.64,1875.5,11.81,26500,High
5.39,22.6,14.14,876.2,4.19,38802,Low
8.66,25.61,14.59,2450.1,8.27,31561,High
5.13,28.42,13.61,6251.8,7.69,32793,High
7.82,24.08,13,2796.3,9.19,24131,High
4.98,10.43,13.55,2619.8,8.27,26233,High
4.36,6.9,10.23,4367.8,5.74,40934,Low
3.18,6.74,4.6,720.5,4.11,62021,Low
3.03,2.86,7.51,1053.1,5.08,54834,Low
8.12,26.68,12.01,3288.6,8.65,36233,High
5.3,19.11,13.37,1739.3,17,25910,High
9.91,25.16,13.37,19984.9,10.72,30529,High
6.16,19.45,10.12,25331.5,17.29,34873,High
9.65,17.36,9.72,1747,26.89,20858,High
3.93,9.25,10.73,2077.6,8.71,34472,Low
4.31,6,11.45,475.5,7.01,24929,Low
3.2,31.78,12.09,1046.9,4.48,37025,High
5.79,33.16,14.76,2254.8,9.72,25372,Low
5.35,28.3,11.27,2237.7,8.89,34091,High
2.27,23.97,5.83,1224.3,2.95,66930,Low
4.04,13.13,7.41,2092.8,8.88,46057,Low
6.81,24.92,9.49,3231.1,9.59,23886,High
6.92,10.29,11.96,1953.5,13.79,22276,High
3.64,15.39,5.88,3239.4,1.85,65994,Low
7.06,25.62,10.47,1506.4,10.99,25759,Low
7.53,12.71,14.49,2530.4,7.26,25535,Low
5.28,1.83,9.68,4012.2,10.6,34887,Low
3.36,25.98,6.42,739.6,1.46,110550,Low
6.45,27.51,13.64,4722.7,13.79,30739,High
7.55,40.19,8.55,533,15.64,17254,Low
5.81,9.52,8.04,1611.4,7.57,42044,Low
2.67,4.81,3.92,621.3,5.78,83975,Low
3.76,17.91,9.68,6512.1,7.7,41875,High
5.53,12.42,12.66,1445.1,5.32,30896,Low
8.12,49.9,6.09,1780.8,6.95,19672,Low
8.5,23.73,14.1,2032.8,10.63,20585,Low
4.15,2.79,8.03,848.2,7.75,36221,High
5.26,27.41,11.7,7175.4,5.43,35951,Low
5.01,0,6.85,2401.5,18.74,31726,Low
5,10.22,9.64,422.1,7.94,39651,Low
6.2,25.76,11.9,14962.8,11.33,33414,High
5.35,23.11,13.54,6041.2,5.42,38907,High
5.52,57.12,8.21,3343.1,2.4,23212,Low
8.61,24.69,12.04,1728.3,14.36,33313,High
5.37,15.46,9.94,503.3,7.98,39916,High
5.13,15.32,11.51,2417.9,10.96,36211,Low
4.81,18.16,16.26,10143,5.51,35997,High
2.63,10.47,6.52,627.4,2.67,64538,Low
6.33,12.56,10.2,666.1,19.04,28496,Low
2.46,3.76,8.84,1832.3,6.25,34061,Low
5.84,17.5,11.27,950.2,5.01,30287,High
4.36,26.76,12.79,2984.9,5.03,31833,Low
8.85,10.57,12.17,4772.8,8.74,22032,High
5.85,53.28,4.58,2170.4,2.4,21162,Low
7.5,3.68,12.19,1125.5,20.79,24051,Low
5.73,0,10.32,2102,7.33,25324,High
4.9,45.08,6.35,5228.9,4.78,17738,Low
6.6,23.03,11.15,2229.1,4.7,25698,High
4.74,9.9,9.52,1004.2,5.48,37500,Low
3.51,13.61,10.53,1977.9,5.08,36431,Low
2.55,16.85,8.08,3417.4,2.36,48137,Low
9.86,6.1,10.93,793.1,17.15,22100,High
8.03,25.04,9.45,10395.5,14.73,32332,Low
2.84,9.87,4.41,394.7,3.73,60900,Low
10.56,6.82,13.57,2763.5,13.84,16442,High
4.23,14.76,6.3,651.7,1.67,46027,Low
11.85,24.79,16.17,2435.4,10.79,26372,High
5.58,13.68,12.7,3021.3,13.12,29133,Low
6.77,26.73,16.61,2944.6,7.68,25106,High
8.29,19.07,10.26,1941.4,25.45,24103,High
5.55,35.2,8.13,421,6.53,40321,Low
4.53,10.07,11.77,1810.6,4.19,32984,Low
3.53,21.36,13.3,6865.9,4.09,38122,High
4.22,8.72,9.65,2880.2,12.31,25976,Low
4.45,19.01,8.94,1009.8,8.19,42783,Low
3.66,24.09,10.55,1840.1,5.1,38531,High
3.19,23.42,9.26,6133.4,6.32,45999,Low
7.25,12.03,12.71,1338.2,5.73,25918,High
6.47,18.43,14.52,7270.3,15,22210,High
10.56,17.03,13.29,2123.3,15.01,21225,High
5.21,14.59,10.66,935.8,3.23,51173,Low
5.82,24.77,5.98,631.1,8.81,27154,High
3.63,33.32,9.73,4284.1,4.69,47347,High
4.52,9.9,4.85,1904.3,2.43,53130,Low
8.28,32.91,13.57,1925.8,16.94,21881,High
9.83,34.09,11.59,2084.8,30.07,25976,High
3.17,40.55,13.27,2130.4,8.66,34891,High
3.24,24.05,8.68,3148.2,0.77,61572,Low
5.23,20.47,11.14,2834.7,3.77,37050,Low
6.84,61.69,6.17,2238.5,2.94,21312,Low
3.63,9.72,6.4,7276.1,5.43,55476,Low
5.93,21.49,12.83,2401.8,6.89,27469,High
4.75,44.9,11.29,370.6,16.55,20970,Low
2.57,8.34,6.24,4533.9,4.38,54469,Low
10.81,28.31,12.51,1077,13.25,22514,High
10.21,16.8,11.77,2007.6,18.32,24649,High
9.08,0,12.14,1131.9,31.54,17805,Low
12.39,36.73,12.88,1493.5,19.14,16496,High
9.67,34.81,11.07,2066.9,18.62,16162,Low
4.19,17.17,13.3,1844.6,2.81,49660,Low
4.36,7.45,6.45,503.9,3.35,59834,Low
9.68,19.06,14.39,705.5,15.47,19456,High
6.05,28.82,10.17,10393.2,14.56,31368,High
6.96,23.36,15.36,2625.2,13.67,23933,High
5.37,20.49,15.58,5063.6,6.94,35516,High
4.36,38.54,4.28,2566.9,8.13,19635,Low
6.47,33.96,12.65,2003.5,26.95,18049,High
2.25,17.12,5.1,1915.8,3.17,83275,Low
5.44,7.92,9.37,2322.5,6.04,35786,High
5.47,18.2,8.09,432.1,3.87,44492,Low
3.86,19.37,5.9,1910.5,4.17,58769,Low
5.61,27.51,13.61,1504,9.81,23835,High
8.32,33.9,10.24,11447.7,10.34,29180,High
4.6,4.34,9.67,4233.9,7.7,31998,Low
2.84,16.89,7.7,524.3,3.27,57464,Low
7.12,30.65,14.83,3346.3,8.54,21183,High
6.83,54.9,7.36,3871.8,4.65,18393,High
3.17,38.3,14.85,5410.7,6.41,42431,High
3.52,47.14,9.32,3196.2,3.84,29420,Low
9,51.32,13.71,768.4,17.88,18870,High
5.32,10.26,12.04,1110.1,12,32886,Low
6.7,7.63,6.81,2351.7,3.72,44734,High
6.74,0,9.89,2301.7,8.55,27688,Low
8.29,36.98,18.77,2035.9,9.18,22194,High
9.91,25.69,11.56,8617.3,20.43,27631,High
5.03,0,13.51,716.2,9.55,31155,Low
6.29,20.69,10.59,997.3,7.4,25341,High
11.04,28.56,12.67,16110.7,22.45,26960,High
4.07,15.5,12,1251.2,6.21,31308,High
2.07,15.93,8.41,1356.3,1.84,36582,Low
